StimID,filename,identity,level,traj,stim_modality
0,Average_audVid.avi,0,0,,audVid
1,identity3rad_100_audOnly.avi,3,100,rad,audOnly
2,identity2tan_075_audOnly.avi,2,75,tan,audOnly
3,identity4tan_025_audOnly.avi,4,25,tan,audOnly
4,identity1rad_100_audOnly.avi,1,100,rad,audOnly
5,identity2rad_100_visOnly.avi,2,100,rad,visOnly
6,identity3rad_050_audOnly.avi,3,50,rad,audOnly
7,identity4rad_025_audOnly.avi,4,25,rad,audOnly
8,identity1rad_075_visOnly.avi,1,75,rad,visOnly
9,identity4tan_050_audVid.avi,4,50,tan,audVid
10,identity1tan_025_audVid.avi,1,25,tan,audVid
11,identity2tan_025_visOnly.avi,2,25,tan,visOnly
12,identity1rad_075_audVid.avi,1,75,rad,audVid
13,identity3tan_075_audVid.avi,3,75,tan,audVid
14,identity3rad_050_visOnly.avi,3,50,rad,visOnly
15,identity4rad_075_visOnly.avi,4,75,rad,visOnly
16,identity1tan_025_visOnly.avi,1,25,tan,visOnly
17,identity3tan_025_visOnly.avi,3,25,tan,visOnly
18,identity1rad_100_audVid.avi,1,100,rad,audVid
19,identity2tan_050_audOnly.avi,2,50,tan,audOnly
20,identity4tan_050_visOnly.avi,4,50,tan,visOnly
21,identity4rad_100_audOnly.avi,4,100,rad,audOnly
22,identity1tan_025_audOnly.avi,1,25,tan,audOnly
23,identity4rad_025_visOnly.avi,4,25,rad,visOnly
24,identity1rad_025_audOnly.avi,1,25,rad,audOnly
25,identity1rad_050_audOnly.avi,1,50,rad,audOnly
26,identity3rad_025_audVid.avi,3,25,rad,audVid
27,identity3tan_050_audVid.avi,3,50,tan,audVid
28,identity4rad_075_audVid.avi,4,75,rad,audVid
29,identity3tan_075_audOnly.avi,3,75,tan,audOnly
30,identity4rad_050_visOnly.avi,4,50,rad,visOnly
31,identity2rad_075_visOnly.avi,2,75,rad,visOnly
32,identity2rad_025_audVid.avi,2,25,rad,audVid
33,identity3rad_100_visOnly.avi,3,100,rad,visOnly
34,identity4rad_100_visOnly.avi,4,100,rad,visOnly
35,identity4tan_025_visOnly.avi,4,25,tan,visOnly
36,identity3rad_075_audOnly.avi,3,75,rad,audOnly
37,identity1tan_075_audVid.avi,1,75,tan,audVid
38,identity2rad_050_audVid.avi,2,50,rad,audVid
39,identity3rad_075_visOnly.avi,3,75,rad,visOnly
40,identity3rad_025_visOnly.avi,3,25,rad,visOnly
41,identity4tan_075_audOnly.avi,4,75,tan,audOnly
42,identity1rad_050_visOnly.avi,1,50,rad,visOnly
43,identity1rad_025_visOnly.avi,1,25,rad,visOnly
44,Average_audOnly.avi,0,0,,audOnly
45,identity4rad_050_audVid.avi,4,50,rad,audVid
46,identity3rad_025_audOnly.avi,3,25,rad,audOnly
47,identity2tan_075_audVid.avi,2,75,tan,audVid
48,identity1rad_100_visOnly.avi,1,100,rad,visOnly
49,identity2rad_025_audOnly.avi,2,25,rad,audOnly
50,identity1tan_075_visOnly.avi,1,75,tan,visOnly
51,identity3tan_025_audOnly.avi,3,25,tan,audOnly
52,identity2tan_075_visOnly.avi,2,75,tan,visOnly
53,identity3tan_075_visOnly.avi,3,75,tan,visOnly
54,identity4tan_025_audVid.avi,4,25,tan,audVid
55,identity4rad_025_audVid.avi,4,25,rad,audVid
56,Average_visOnly.avi,0,0,,visOnly
57,identity4tan_050_audOnly.avi,4,50,tan,audOnly
58,identity1tan_050_audOnly.avi,1,50,tan,audOnly
59,identity1tan_050_audVid.avi,1,50,tan,audVid
60,identity2rad_075_audOnly.avi,2,75,rad,audOnly
61,identity1tan_050_visOnly.avi,1,50,tan,visOnly
62,identity4tan_075_audVid.avi,4,75,tan,audVid
63,identity2rad_025_visOnly.avi,2,25,rad,visOnly
64,identity4rad_075_audOnly.avi,4,75,rad,audOnly
65,identity1tan_075_audOnly.avi,1,75,tan,audOnly
66,identity2rad_075_audVid.avi,2,75,rad,audVid
67,identity1rad_025_audVid.avi,1,25,rad,audVid
68,identity2rad_100_audVid.avi,2,100,rad,audVid
69,identity4tan_075_visOnly.avi,4,75,tan,visOnly
70,identity2tan_025_audVid.avi,2,25,tan,audVid
71,identity2rad_050_visOnly.avi,2,50,rad,visOnly
72,identity2tan_050_visOnly.avi,2,50,tan,visOnly
73,identity3tan_025_audVid.avi,3,25,tan,audVid
74,identity2rad_100_audOnly.avi,2,100,rad,audOnly
75,identity2tan_025_audOnly.avi,2,25,tan,audOnly
76,identity3tan_050_audOnly.avi,3,50,tan,audOnly
77,identity3tan_050_visOnly.avi,3,50,tan,visOnly
78,identity4rad_100_audVid.avi,4,100,rad,audVid
79,identity1rad_075_audOnly.avi,1,75,rad,audOnly
80,identity4rad_050_audOnly.avi,4,50,rad,audOnly
81,identity3rad_100_audVid.avi,3,100,rad,audVid
82,identity3rad_050_audVid.avi,3,50,rad,audVid
83,identity2tan_050_audVid.avi,2,50,tan,audVid
84,identity1rad_050_audVid.avi,1,50,rad,audVid
85,identity3rad_075_audVid.avi,3,75,rad,audVid
86,identity2rad_050_audOnly.avi,2,50,rad,audOnly
